date,home_team,away_team,actual,predicted,correct,tier,consensus,h_prob,d_prob,a_prob,brier,elo_home,elo_away,elo_gap
2023-09-24,Leverkusen,Heidenheim,home_win,home_win,True,SNIPER,0,0.4476,0.2636,0.2888,0.458,1577.9,1485.6,92.3
2023-09-24,Ein Frankfurt,Freiburg,draw,draw,True,SKIP,0,0.3406,0.362,0.2974,0.6115,1517.4,1533.9,-16.6
2023-09-29,Hoffenheim,Dortmund,away_win,away_win,True,SKIP,0,0.2946,0.3336,0.3718,0.5927,1504.6,1651.7,-147.1
2023-09-30,Bochum,M'gladbach,away_win,home_win,False,HOLD,0,0.352,0.351,0.297,0.7413,1440.6,1445.0,-4.3
2023-09-30,FC Koln,Stuttgart,away_win,draw,False,SKIP,0,0.3156,0.3633,0.3212,0.6924,1431.1,1503.1,-72.0
2023-09-30,Heidenheim,Union Berlin,home_win,draw,False,SKIP,0,0.3155,0.3782,0.3063,0.7054,1475.8,1531.2,-55.5
2023-09-30,Mainz,Leverkusen,away_win,away_win,True,SKIP,0,0.2881,0.3336,0.3783,0.5808,1425.7,1587.7,-162.0
2023-09-30,Wolfsburg,Ein Frankfurt,home_win,home_win,True,HOLD,0,0.3679,0.3363,0.2958,0.6001,1527.8,1515.8,12.0
2023-09-30,RB Leipzig,Bayern Munich,draw,draw,True,SKIP,0,0.3473,0.3555,0.2972,0.6243,1645.1,1654.4,-9.3
2023-10-01,Darmstadt,Werder Bremen,home_win,home_win,True,HOLD,0,0.4199,0.2636,0.3165,0.5062,1447.4,1412.5,34.9
2023-10-01,Freiburg,Augsburg,home_win,home_win,True,SNIPER,0,0.4588,0.2636,0.2776,0.4394,1535.5,1417.7,117.7
2023-10-06,M'gladbach,Mainz,draw,home_win,False,HOLD,0,0.4267,0.2636,0.3097,0.8203,1463.1,1414.7,48.4
2023-10-07,Dortmund,Union Berlin,home_win,home_win,True,SNIPER,0,0.4715,0.2636,0.2649,0.419,1663.4,1515.0,148.4
2023-10-07,Augsburg,Darmstadt,away_win,draw,False,SKIP,0,0.3154,0.3825,0.302,0.733,1408.9,1459.5,-50.6
2023-10-07,RB Leipzig,Bochum,draw,home_win,False,SNIPER,0,0.497,0.2636,0.2394,0.8466,1643.2,1422.5,220.7
2023-10-07,Werder Bremen,Hoffenheim,away_win,draw,False,SKIP,0,0.3147,0.3447,0.3406,0.6527,1400.3,1493.0,-92.6
2023-10-07,Stuttgart,Wolfsburg,home_win,draw,False,SKIP,0,0.3347,0.3678,0.2975,0.6664,1518.1,1541.0,-23.0
2023-10-08,Leverkusen,FC Koln,home_win,home_win,True,HOLD,0,0.4843,0.2636,0.2521,0.399,1598.7,1416.1,182.6
2023-10-08,Bayern Munich,Freiburg,home_win,home_win,True,SNIPER,0,0.4564,0.2636,0.28,0.4434,1656.3,1544.3,112.0
2023-10-08,Ein Frankfurt,Heidenheim,home_win,home_win,True,HOLD,0,0.3665,0.3376,0.2959,0.6029,1502.6,1492.0,10.6
2023-10-20,Dortmund,Werder Bremen,home_win,home_win,True,SNIPER,0,0.5147,0.2636,0.2217,0.3542,1671.1,1386.3,284.8
2023-10-21,Freiburg,Bochum,home_win,home_win,True,SNIPER,0,0.4521,0.2636,0.2843,0.4505,1535.3,1433.0,102.3
2023-10-21,Darmstadt,RB Leipzig,away_win,away_win,True,SKIP,0,0.2901,0.3336,0.3763,0.5844,1475.5,1632.8,-157.3
2023-10-21,Hoffenheim,Ein Frankfurt,away_win,draw,False,SKIP,0,0.3477,0.3551,0.2972,0.7409,1507.0,1515.9,-8.9
2023-10-21,Union Berlin,Stuttgart,away_win,draw,False,SKIP,0,0.3323,0.3701,0.2976,0.7408,1507.3,1532.8,-25.6
2023-10-21,Mainz,Bayern Munich,away_win,away_win,True,SKIP,0,0.2819,0.2636,0.4545,0.4465,1419.1,1665.3,-246.2
2023-10-21,Wolfsburg,Leverkusen,away_win,draw,False,SKIP,0,0.3153,0.357,0.3277,0.6789,1526.3,1605.3,-79.1
2023-10-22,FC Koln,M'gladbach,home_win,draw,False,SKIP,0,0.3154,0.3838,0.3008,0.7065,1409.4,1458.7,-49.2
2023-10-22,Heidenheim,Augsburg,away_win,home_win,False,SNIPER,0,0.4446,0.2636,0.2918,0.7687,1478.8,1392.9,85.9
2023-10-27,Bochum,Mainz,draw,home_win,False,HOLD,0,0.3682,0.336,0.2958,0.664,1423.6,1411.3,12.3
2023-10-28,Augsburg,Wolfsburg,home_win,away_win,False,SKIP,0,0.3144,0.3411,0.3445,0.7051,1414.9,1511.6,-96.7
2023-10-28,Bayern Munich,Darmstadt,home_win,home_win,True,SNIPER,0,0.4933,0.2636,0.2431,0.3853,1673.1,1464.3,208.8
2023-10-28,M'gladbach,Heidenheim,home_win,draw,False,SKIP,0,0.3428,0.3598,0.2973,0.6498,1442.7,1456.8,-14.2
2023-10-28,Stuttgart,Hoffenheim,away_win,home_win,False,HOLD,0,0.4327,0.2636,0.3037,0.7415,1549.9,1489.1,60.8
2023-10-28,Werder Bremen,Union Berlin,home_win,away_win,False,SKIP,0,0.3124,0.3336,0.354,0.7094,1382.2,1490.1,-107.9
2023-10-28,RB Leipzig,FC Koln,home_win,home_win,True,HOLD,0,0.4964,0.2636,0.24,0.3807,1644.0,1425.4,218.6
2023-10-29,Ein Frankfurt,Dortmund,draw,away_win,False,SKIP,0,0.2971,0.3336,0.3693,0.6687,1533.8,1675.2,-141.4
